Avar Iruvarum,Mizhikal Mezhukin ,https://www.malayalachalachithram.com/song.php?i=19681
Avar Iruvarum,Randu Kannum (F),https://www.malayalachalachithram.com/song.php?i=19682
Climax,Thaamara Poonkaikal,https://www.malayalachalachithram.com/song.php?i=19691
Black Ticket,Narunilaathullikal,https://www.malayalachalachithram.com/song.php?i=19970
Police Maman,Annaavin Singaari,https://www.malayalachalachithram.com/song.php?i=20309
Police Maman,Thumpakkudangal,https://www.malayalachalachithram.com/song.php?i=20310
Ilamveyil,Manchaadikkunnil,https://www.malayalachalachithram.com/song.php?i=22164
Hangover,Eeran Thennal,https://www.malayalachalachithram.com/song.php?i=20238
Rasputin,Ponveene (Resung from Thalavattom),https://www.malayalachalachithram.com/song.php?i=23872
Weeping Boy,Kilimozhikal Alayaayi,https://www.malayalachalachithram.com/song.php?i=20281
Lailaa O Lailaa,Nanayumee Mazha,https://www.malayalachalachithram.com/song.php?i=21147
Aval Vannathinu Sesham,Ethetho Nagara,https://www.malayalachalachithram.com/song.php?i=20989
Snehamulloraal Koodeyullappol,Kanmaniye Ninte,https://www.malayalachalachithram.com/song.php?i=20505
Snehamulloraal Koodeyullappol,Swapnathinu,https://www.malayalachalachithram.com/song.php?i=20506
Mr Fraud,Sadaa Paalaya,https://www.malayalachalachithram.com/song.php?i=20596
Color Balloon,Swapnakkoodu,https://www.malayalachalachithram.com/song.php?i=20708
Cousins,Kannodu Kannidayum,https://www.malayalachalachithram.com/song.php?i=21077
Mahaaraani,Kanavukal Thaane,https://www.malayalachalachithram.com/song.php?i=21033
Mahaaraani,Manjil Pookkum,https://www.malayalachalachithram.com/song.php?i=21034
Veyilum Mazhayum,Karumaadippaadam,https://www.malayalachalachithram.com/song.php?i=21065
Njaan Ninnodu Koodeyundu,Peyyunnude Minnunnude,https://www.malayalachalachithram.com/song.php?i=21225
Sir C P,Ninte Nizhal Kondu,https://www.malayalachalachithram.com/song.php?i=21245
Ivide,Etho Theerangal,https://www.malayalachalachithram.com/song.php?i=21187
Rudrasimhasanam,Kaathil Parayumo,https://www.malayalachalachithram.com/song.php?i=21430
Ennu Ninte Moideen,Shaaradaambaram Chaaruchandrika (F),https://www.malayalachalachithram.com/song.php?i=21541
Ennu Ninte Moideen,Shaaradaambaram Chaaruchandrika (D),https://www.malayalachalachithram.com/song.php?i=21570
Love 24x7,Venal Ozhiyunu,https://www.malayalachalachithram.com/song.php?i=21367
Ayaal Njanalla,Neelavan Mukile,https://www.malayalachalachithram.com/song.php?i=21379
Poyi Maranju Parayaathe,Hima Bindukkal,https://www.malayalachalachithram.com/song.php?i=21838
Poyi Maranju Parayaathe,Oru Nokku Kaanuvaan ,https://www.malayalachalachithram.com/song.php?i=21926
Rudhramaadevi,Maktha Gajame,https://www.malayalachalachithram.com/song.php?i=21953
Rudhramaadevi,Anthappurathilo,https://www.malayalachalachithram.com/song.php?i=21956
Rudhramaadevi,Mounam ,https://www.malayalachalachithram.com/song.php?i=21957
Ithinumappuram,Naagaraajaavaaya,https://www.malayalachalachithram.com/song.php?i=21586
